fighter,country,continent,stance_project,hand,wins,losses,total_fights,win_rate,weight_class,learning_tip,weight_class_source,gender,height_cm,reach_cm,stance_ufcstats,dob,ufcstats_url,ufc_fights,ufc_wins,ufc_losses,ufc_ko_wins,ufc_sub_wins,ufc_dec_wins,title_fights,main_events,first_ufc_fight,last_ufc_fight,stats_fights,ufc_minutes,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,kd_avg,ctrl_pct,pct_distance,pct_clinch,pct_ground,pct_head,pct_body,pct_leg,age,age_at_last_ufc_fight,active,ape_index_cm,headliner_index,striking_index,grappling_index,fighting_style,stance,stance_matches_project,foot,champion,popularity_index,stance_hand,foot_hand,ape_index
Anthony Smith,USA,North America,Orthodox,Right,36,16,52,69.23,Light Heavyweight,Study fundamentals and signature techniques,corrected,Men,193.0,193.0,Orthodox,1988-07-26,http://ufcstats.com/fighter-details/d4c9dcd330403612,25.0,13.0,12.0,6.0,5.0,2.0,1.0,8.0,2013-06-08,2025-04-26,25.0,259.5,3.24,50.06,5.19,44.38,0.46,22.86,50.0,0.46,0.4,6.31,87.98,7.62,4.4,62.74,18.45,18.81,38.2,36.8,True,0.0,9.0,46.0,29.0,Striker,Orthodox,True,Right,False,53,Orthodox · Right-handed,Right foot · Right hand,1.0
Anderson Silva,Brazil,South America,Orthodox,Right,34,11,45,75.56,Middleweight,"Study head movement, timing",original,Men,188.0,195.6,Southpaw,1975-04-14,http://ufcstats.com/fighter-details/1f454354805b6f75,25.0,17.0,7.0,11.0,3.0,3.0,13.0,19.0,2006-06-28,2020-10-31,25.0,270.8,3.07,59.01,2.58,59.51,0.17,75.0,76.32,0.33,1.0,5.1,68.15,14.78,17.07,53.97,21.75,24.28,51.4,45.5,False,7.6,32.0,60.0,18.0,Striker,Southpaw,False,Right,True,94,Southpaw · Right-handed,Right foot · Right hand,1.04
Charles Oliveira,Brazil,South America,Orthodox,Right,34,9,43,79.07,Lightweight,"Study submission game, creativity",original,Men,177.8,188.0,Orthodox,1989-10-17,http://ufcstats.com/fighter-details/07225ba28ae309b6,37.0,25.0,11.0,4.0,17.0,4.0,4.0,9.0,2010-08-01,2026-03-07,37.0,295.0,3.23,55.63,3.05,48.95,2.29,39.82,54.9,2.59,0.41,34.59,58.7,18.13,23.17,59.22,25.79,14.99,36.9,36.4,True,10.2,13.0,46.0,87.0,Grappler,Orthodox,True,Right,True,80,Orthodox · Right-handed,Right foot · Right hand,1.057
Amanda Nunes,Brazil,South America,Orthodox,Right,21,5,26,80.77,Women's Bantamweight,Study fundamentals and signature techniques,corrected,Women,172.7,175.3,Orthodox,1988-05-30,http://ufcstats.com/fighter-details/80fa8218c99f9c58,18.0,16.0,2.0,7.0,3.0,6.0,12.0,7.0,2013-08-03,2023-06-10,18.0,204.4,4.54,52.02,2.44,59.3,2.79,56.72,81.25,0.73,0.59,34.23,68.86,3.56,27.59,67.78,13.36,18.86,38.3,35.0,False,2.6,19.0,74.0,82.0,All-rounder,Orthodox,True,Right,True,86,Orthodox · Right-handed,Right foot · Right hand,1.015
Cris Cyborg,Brazil,South America,Orthodox,Right,26,2,28,92.86,Women's Featherweight,Study fundamentals and signature techniques,corrected,Women,172.7,172.7,Orthodox,1985-07-09,http://ufcstats.com/fighter-details/634bb0de2eb043b4,7.0,6.0,1.0,4.0,0.0,2.0,4.0,3.0,2016-05-14,2019-07-27,7.0,65.0,7.07,57.0,2.28,67.9,0.69,60.0,88.24,0.0,0.46,14.68,64.57,21.96,13.48,56.52,29.57,13.91,41.2,34.0,False,0.0,7.0,81.0,26.0,Striker,Orthodox,True,Right,True,29,Orthodox · Right-handed,Right foot · Right hand,1.0
Wanderlei Silva,Brazil,South America,Southpaw,Left,35,13,48,72.92,Light Heavyweight,Study fundamentals and signature techniques,corrected,Men,180.3,188.0,Orthodox,1976-07-03,http://ufcstats.com/fighter-details/a1f6999fe57236e0,12.0,5.0,7.0,4.0,0.0,1.0,1.0,4.0,1998-10-16,2013-03-02,12.0,122.0,2.66,33.64,3.21,62.76,0.25,40.0,48.0,0.12,1.11,3.54,70.46,20.0,9.54,70.15,13.23,16.62,50.2,36.7,False,7.7,5.0,56.0,11.0,Striker,Orthodox,False,Left,True,22,Orthodox · Left-handed,Left foot · Left hand,1.043
Lyoto Machida,Brazil,South America,Southpaw,Left,26,9,35,74.29,Light Heavyweight,Study fundamentals and signature techniques,corrected,Men,185.4,188.0,Southpaw,1978-05-30,http://ufcstats.com/fighter-details/f7a7f7118d4b01b6,24.0,16.0,8.0,7.0,1.0,8.0,5.0,13.0,2007-02-03,2018-05-12,24.0,285.8,2.51,51.73,1.62,62.59,0.73,63.64,76.47,0.42,0.73,15.64,71.09,12.43,16.48,50.28,27.37,22.35,48.3,40.0,False,2.6,18.0,49.0,45.0,All-rounder,Southpaw,True,Left,True,84,Southpaw · Left-handed,Left foot · Left hand,1.014
Fabricio Werdum,Brazil,South America,Orthodox,Right,24,10,34,70.59,Heavyweight,Study fundamentals and signature techniques,corrected,Men,193.0,195.6,Orthodox,1977-07-30,http://ufcstats.com/fighter-details/492b202d2064e7a9,18.0,12.0,6.0,4.0,4.0,4.0,3.0,7.0,2007-04-21,2020-07-25,18.0,193.4,4.6,56.36,3.25,54.95,1.24,28.57,26.67,0.47,0.31,18.65,75.62,12.58,11.8,63.82,18.99,17.19,49.2,43.0,False,2.6,10.0,60.0,55.0,All-rounder,Orthodox,True,Right,True,56,Orthodox · Right-handed,Right foot · Right hand,1.013
Junior Dos Santos,Brazil,South America,Orthodox,Right,21,9,30,70.0,Heavyweight,Study fundamentals and signature techniques,corrected,Men,193.0,195.6,Orthodox,1984-01-30,http://ufcstats.com/fighter-details/63def5a5662a6917,23.0,15.0,8.0,10.0,0.0,5.0,5.0,13.0,2008-10-25,2020-12-12,23.0,247.0,4.49,47.95,3.33,56.22,0.3,50.0,81.82,0.06,0.85,3.08,84.94,8.48,6.58,61.5,34.08,4.42,42.7,36.9,False,2.6,18.0,81.0,10.0,Striker,Orthodox,True,Right,True,82,Orthodox · Right-handed,Right foot · Right hand,1.013
Deiveson Figueiredo,Brazil,South America,Orthodox,Right,22,4,26,84.62,Flyweight,Study fundamentals and signature techniques,original,Men,165.1,172.7,Orthodox,1987-12-18,http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,22.0,14.0,7.0,4.0,4.0,6.0,6.0,7.0,2017-06-03,2026-05-30,22.0,279.8,2.57,53.9,3.43,49.63,1.61,34.88,57.14,1.18,0.64,15.65,75.77,7.24,16.99,60.03,28.13,11.84,38.8,38.4,True,7.6,13.0,46.0,66.0,Grappler,Orthodox,True,Right,True,71,Orthodox · Right-handed,Right foot · Right hand,1.046
Alex Pereira,Brazil,South America,Orthodox,Right,10,2,12,83.33,Middleweight,"Study left hook, striking power",original,Men,193.0,200.7,Orthodox,1987-07-07,http://ufcstats.com/fighter-details/e5549c82bfb5582d,13.0,10.0,3.0,8.0,0.0,2.0,9.0,8.0,2021-11-06,2026-06-14,13.0,139.2,5.01,61.36,3.72,52.56,0.11,50.0,80.0,0.22,0.75,1.89,81.21,10.33,8.46,46.77,25.82,27.4,39.2,38.9,True,7.7,17.0,86.0,13.0,Striker,Orthodox,True,Right,True,69,Orthodox · Right-handed,Right foot · Right hand,1.04
Demian Maia,Brazil,South America,Orthodox,Right,29,10,39,74.36,Welterweight,Study fundamentals and signature techniques,corrected,Men,185.4,182.9,Southpaw,1977-11-06,http://ufcstats.com/fighter-details/427b5953ac8e3a27,33.0,22.0,11.0,1.0,11.0,10.0,2.0,6.0,2007-10-20,2021-06-12,33.0,409.7,1.8,43.57,2.07,63.64,2.49,24.82,61.54,0.99,0.04,37.91,50.2,12.04,37.75,80.11,14.61,5.28,48.9,43.6,False,-2.5,8.0,3.0,85.0,Grappler,Southpaw,False,Right,False,58,Southpaw · Right-handed,Right foot · Right hand,0.987
Thiago Alves,Brazil,South America,Orthodox,Right,22,12,34,64.71,Welterweight,Study fundamentals and signature techniques,corrected,Men,175.3,177.8,Orthodox,1983-10-03,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f,27.0,15.0,12.0,8.0,1.0,6.0,1.0,3.0,2005-10-03,2019-12-07,27.0,296.6,3.73,41.77,3.42,62.52,0.71,60.87,63.11,0.3,0.66,10.43,78.39,11.39,10.22,51.45,13.56,34.99,43.0,36.2,False,2.5,4.0,62.0,32.0,Striker,Orthodox,True,Right,False,39,Orthodox · Right-handed,Right foot · Right hand,1.014
Glover Teixeira,Brazil,South America,Orthodox,Right,33,8,41,80.49,Light Heavyweight,Study fundamentals and signature techniques,original,Men,188.0,193.0,Orthodox,1979-10-28,http://ufcstats.com/fighter-details/7ff97850e8c32bda,23.0,16.0,7.0,6.0,7.0,3.0,4.0,10.0,2012-05-26,2023-01-21,23.0,265.1,3.59,50.66,4.47,50.97,2.04,33.64,60.29,0.91,0.28,29.63,51.1,9.76,39.14,84.99,13.22,1.78,46.9,43.2,False,5.0,14.0,40.0,79.0,Grappler,Orthodox,True,Right,True,77,Orthodox · Right-handed,Right foot · Right hand,1.027
Mauricio Rua,Brazil,South America,Orthodox,Right,27,13,40,67.5,Light Heavyweight,Study fundamentals and signature techniques,original,Men,185.4,193.0,Orthodox,1981-11-25,http://ufcstats.com/fighter-details/140745cbbcb023ac,24.0,11.0,12.0,8.0,0.0,3.0,3.0,9.0,2007-09-22,2023-01-21,24.0,264.8,3.35,51.54,3.46,52.24,1.53,42.86,47.69,0.23,0.79,23.25,69.93,14.64,15.43,59.35,15.77,24.89,44.8,41.2,False,7.6,12.0,62.0,53.0,All-rounder,Orthodox,True,Left,True,60,Orthodox · Right-handed,Left foot · Right hand,1.041
Rafael Dos Anjos,Brazil,South America,Orthodox,Right,30,14,44,68.18,Lightweight,Study fundamentals and signature techniques,original,Men,172.7,177.8,Southpaw,1984-10-26,http://ufcstats.com/fighter-details/6a2f7c151031653d,36.0,21.0,15.0,4.0,5.0,12.0,4.0,12.0,2008-11-15,2024-10-26,36.0,523.3,3.48,47.07,3.23,60.24,1.95,35.6,54.82,0.57,0.2,26.13,67.18,17.62,15.2,58.34,23.82,17.84,41.9,40.0,True,5.1,16.0,32.0,70.0,Grappler,Southpaw,False,Right,True,84,Southpaw · Right-handed,Right foot · Right hand,1.03
Marlon Vera,Ecuador,South America,Orthodox,Right,22,8,30,73.33,Bantamweight,Study fundamentals and signature techniques,original,Men,172.7,177.8,Switch,1992-12-02,http://ufcstats.com/fighter-details/7c7332319c14094c,27.0,16.0,11.0,8.0,4.0,4.0,1.0,4.0,2014-11-15,2026-09-19,27.0,365.7,4.24,47.93,5.39,49.6,0.57,45.16,72.04,0.74,0.66,9.0,78.61,10.76,10.63,54.06,21.97,23.97,33.8,33.8,True,5.1,5.0,71.0,41.0,Striker,Switch,False,Left,False,45,Switch · Right-handed,Left foot · Right hand,1.03
Brandon Moreno,Mexico,North America,Orthodox,Right,22,6,28,78.57,Flyweight,Study fundamentals and signature techniques,original,Men,170.2,177.8,Orthodox,1993-12-07,http://ufcstats.com/fighter-details/792be9a24df82ed6,21.0,12.0,7.0,3.0,3.0,6.0,6.0,6.0,2016-10-01,2026-09-12,21.0,355.9,3.86,43.99,3.69,59.93,1.39,41.25,67.47,0.38,0.17,18.05,87.85,5.53,6.62,73.02,16.65,10.33,32.8,32.8,True,7.6,12.0,36.0,53.0,Grappler,Orthodox,True,Left,True,62,Orthodox · Right-handed,Left foot · Right hand,1.045
Yair Rodriguez,Mexico,North America,Southpaw,Right,15,4,19,78.95,Featherweight,Study fundamentals and signature techniques,original,Men,180.3,180.3,Orthodox,1992-10-06,http://ufcstats.com/fighter-details/cbf5e6f231b55443,16.0,11.0,4.0,4.0,1.0,6.0,3.0,7.0,2014-11-15,2025-04-12,16.0,211.7,4.65,46.95,3.78,52.8,0.71,29.41,59.42,0.64,0.35,8.45,78.15,6.5,15.35,55.28,19.61,25.1,34.0,32.5,True,0.0,10.0,64.0,40.0,Striker,Orthodox,False,Right,False,53,Orthodox · Right-handed,Right foot · Right hand,1.0
Alexa Grasso,Mexico,North America,Southpaw,Left,16,3,19,84.21,Women's Flyweight,Study fundamentals and signature techniques,corrected,Women,165.1,167.6,Orthodox,1993-08-09,http://ufcstats.com/fighter-details/e8b731feff72294b,17.0,10.0,5.0,1.0,2.0,7.0,4.0,3.0,2016-11-05,2026-09-12,17.0,264.0,4.11,41.11,3.72,59.35,0.4,36.84,53.75,0.63,0.23,9.41,80.18,16.68,3.13,63.32,17.6,19.08,33.1,33.1,True,2.5,7.0,46.0,36.0,All-rounder,Orthodox,False,Right,True,37,Orthodox · Left-handed,Right foot · Left hand,1.015
Cain Velasquez,Mexico,North America,Orthodox,Right,14,3,17,82.35,Heavyweight,Study fundamentals and signature techniques,corrected,Men,185.4,195.6,Orthodox,1982-07-28,http://ufcstats.com/fighter-details/0ff11cc094e887bc,15.0,12.0,3.0,10.0,0.0,2.0,6.0,8.0,2008-04-19,2019-02-17,15.0,111.0,6.48,57.57,2.4,57.64,4.59,41.98,75.0,0.41,1.35,60.37,36.16,27.12,36.72,75.38,10.71,13.91,44.2,36.6,False,10.2,14.0,98.0,83.0,All-rounder,Orthodox,True,Left,True,69,Orthodox · Right-handed,Left foot · Right hand,1.055
Khabib Nurmagomedov,Russia,Europe,Orthodox,Right,29,0,29,100.0,Lightweight,"Study wrestling, ground control, pressure",original,Men,177.8,177.8,Orthodox,1988-09-20,http://ufcstats.com/fighter-details/032cc3922d871c7f,13.0,13.0,0.0,2.0,5.0,6.0,4.0,4.0,2012-01-20,2020-10-24,13.0,171.9,4.1,48.82,1.75,65.4,5.32,48.03,84.62,0.79,0.17,55.08,42.27,3.83,53.9,85.67,9.22,5.11,38.0,32.1,False,0.0,8.0,41.0,92.0,Grappler,Orthodox,True,Left,True,49,Orthodox · Right-handed,Left foot · Right hand,1.0
Islam Makhachev,Russia,Europe,Orthodox,Right,25,1,26,96.15,Lightweight,"Study wrestling, ground game",original,Men,177.8,177.8,Southpaw,1991-10-27,http://ufcstats.com/fighter-details/275aca31f61ba28c,19.0,18.0,1.0,3.0,8.0,7.0,7.0,9.0,2015-05-23,2026-08-15,19.0,223.3,2.27,58.01,1.42,61.46,3.22,54.55,91.3,0.87,0.34,51.05,57.79,18.74,23.47,69.63,23.08,7.3,34.9,34.8,True,0.0,16.0,28.0,89.0,Grappler,Southpaw,False,Right,True,83,Southpaw · Right-handed,Right foot · Right hand,1.0
Petr Yan,Russia,Europe,Orthodox,Right,16,4,20,80.0,Bantamweight,Study fundamentals and signature techniques,original,Men,170.2,170.2,Switch,1993-02-11,http://ufcstats.com/fighter-details/d661ce4da776fc20,16.0,12.0,4.0,4.0,0.0,8.0,5.0,3.0,2018-06-23,2025-12-06,16.0,282.1,5.16,54.9,4.24,59.6,1.7,49.23,86.39,0.11,0.53,15.0,74.59,12.09,13.32,69.23,18.96,11.81,33.6,32.8,True,0.0,8.0,79.0,42.0,Striker,Switch,False,Right,True,46,Switch · Right-handed,Right foot · Right hand,1.0
Magomed Ankalaev,Russia,Europe,Orthodox,Right,18,1,19,94.74,Light Heavyweight,Study fundamentals and signature techniques,original,Men,190.5,190.5,Orthodox,1992-06-02,http://ufcstats.com/fighter-details/d802174b0c0c1f4e,17.0,13.0,2.0,7.0,0.0,6.0,3.0,6.0,2018-03-17,2026-07-25,17.0,211.6,3.52,52.36,2.49,55.25,0.85,24.49,87.5,0.21,0.5,28.4,71.77,10.35,17.88,54.03,28.9,17.07,34.3,34.1,True,0.0,9.0,54.0,50.0,All-rounder,Orthodox,True,Right,True,53,Orthodox · Right-handed,Right foot · Right hand,1.0
Zabit Magomedsharipov,Russia,Europe,Southpaw,Left,18,1,19,94.74,Featherweight,Study fundamentals and signature techniques,corrected,Men,185.4,185.4,Orthodox,1991-03-01,http://ufcstats.com/fighter-details/87aa9fb63d6b51a1,6.0,6.0,0.0,0.0,3.0,3.0,0.0,1.0,2017-09-02,2019-11-09,6.0,77.6,4.89,48.47,3.0,64.91,5.22,56.25,77.78,0.77,0.0,32.46,81.05,3.95,15.0,66.32,13.16,20.53,35.6,28.7,False,0.0,1.0,42.0,86.0,Grappler,Orthodox,False,Left,False,9,Orthodox · Left-handed,Left foot · Left hand,1.0
Fedor Emelianenko,Russia,Europe,Southpaw,Left,40,6,46,86.96,Heavyweight,Study fundamentals and signature techniques,corrected,Men,182.9,188.0,Orthodox,1976-09-28,http://ufcstats.com/fighter-details/b8da6f5c80ae2d15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,False,5.1,0.0,,,Not enough UFC data,Orthodox,False,Left,True,2,Orthodox · Left-handed,Left foot · Left hand,1.028
Alexei Oleinik,Russia,Europe,Orthodox,Right,59,16,75,78.67,Heavyweight,Study fundamentals and signature techniques,corrected,Men,188.0,203.2,Orthodox,1977-06-20,http://ufcstats.com/fighter-details/98c23cb6da5b3352,17.0,9.0,8.0,1.0,7.0,1.0,0.0,3.0,2014-06-28,2022-10-01,17.0,115.7,3.29,48.91,3.8,44.3,1.82,46.67,37.5,1.95,0.26,30.43,70.0,22.63,7.37,62.89,23.95,13.16,49.3,45.3,False,15.2,3.0,36.0,82.0,Grappler,Orthodox,True,Right,False,22,Orthodox · Right-handed,Right foot · Right hand,1.081
Jiri Prochazka,Czech Rep.,Europe,Southpaw,Left,29,4,33,87.88,Light Heavyweight,Study fundamentals and signature techniques,original,Men,190.5,203.2,Orthodox,1992-10-14,http://ufcstats.com/fighter-details/009341ed974bad72,9.0,6.0,3.0,5.0,1.0,0.0,4.0,5.0,2020-07-11,2026-04-11,9.0,92.3,5.61,55.52,5.67,45.41,0.49,60.0,68.42,0.16,0.81,12.17,77.61,7.53,14.86,76.64,15.64,7.72,33.9,33.5,True,12.7,9.0,90.0,26.0,Striker,Orthodox,False,Left,True,38,Orthodox · Left-handed,Left foot · Left hand,1.067
Joanna Jedrzejczyk,Poland,Europe,Orthodox,Right,16,5,21,76.19,Women's Strawweight,Study fundamentals and signature techniques,corrected,Women,167.6,165.1,Orthodox,1987-08-18,http://ufcstats.com/fighter-details/3d6749c4267da18f,15.0,10.0,5.0,2.0,0.0,8.0,10.0,3.0,2014-07-26,2022-06-11,15.0,279.2,6.28,48.13,3.25,62.83,0.27,62.5,80.15,0.05,0.05,7.53,81.58,17.5,0.91,46.24,24.8,28.96,39.1,34.8,False,-2.5,13.0,52.0,12.0,Striker,Orthodox,True,Right,True,61,Orthodox · Right-handed,Right foot · Right hand,0.985
Jan Blachowicz,Poland,Europe,Orthodox,Right,28,10,38,73.68,Light Heavyweight,Study fundamentals and signature techniques,original,Men,188.0,198.1,Orthodox,1983-02-24,http://ufcstats.com/fighter-details/99df7d0a2a08a8a8,23.0,12.0,9.0,5.0,2.0,5.0,4.0,7.0,2014-10-04,2026-08-01,23.0,294.9,3.53,50.24,3.23,51.58,0.97,48.72,70.0,0.36,0.36,13.29,78.37,10.29,11.35,61.44,20.67,17.88,43.6,43.4,True,10.1,11.0,46.0,44.0,All-rounder,Orthodox,True,Right,True,59,Orthodox · Right-handed,Right foot · Right hand,1.054
Mateusz Gamrot,Poland,Europe,Orthodox,Right,22,1,23,95.65,Lightweight,Study fundamentals and signature techniques,original,Men,177.8,177.8,Southpaw,1990-12-11,http://ufcstats.com/fighter-details/72db2a14ffa73ece,14.0,9.0,5.0,3.0,2.0,4.0,0.0,5.0,2020-10-17,2026-08-08,14.0,159.5,3.14,51.33,2.79,60.05,5.08,38.3,76.92,0.38,0.09,31.67,75.45,6.39,18.16,76.85,13.57,9.58,35.8,35.7,True,0.0,5.0,22.0,77.0,Grappler,Southpaw,False,Right,False,29,Southpaw · Right-handed,Right foot · Right hand,1.0
Andre Arlovski,Belarus,Europe,Orthodox,Right,34,22,56,60.71,Heavyweight,Study fundamentals and signature techniques,corrected,Men,190.5,195.6,Orthodox,1979-02-04,http://ufcstats.com/fighter-details/3738e68d2261e60f,42.0,23.0,18.0,9.0,2.0,12.0,5.0,7.0,2000-11-17,2024-06-29,42.0,410.0,3.87,45.56,3.28,56.76,0.33,34.62,77.78,0.18,0.37,7.83,85.3,12.05,2.65,55.21,21.39,23.41,47.6,45.4,False,5.1,12.0,54.0,19.0,Striker,Orthodox,True,Right,True,75,Orthodox · Right-handed,Right foot · Right hand,1.027
Mirko Cro Cop,Croatia,Europe,Southpaw,Left,38,13,51,74.51,Heavyweight,Study fundamentals and signature techniques,corrected,Men,188.0,185.4,Southpaw,1974-09-10,http://ufcstats.com/fighter-details/c32fb8c0f6471a4d,11.0,5.0,6.0,4.0,1.0,0.0,0.0,3.0,2007-02-03,2015-04-11,11.0,116.8,2.02,44.11,2.69,57.91,0.26,33.33,72.97,0.39,0.39,12.8,54.24,27.97,17.8,71.19,21.19,7.63,52.0,40.6,False,-2.6,3.0,30.0,33.0,All-rounder,Southpaw,True,Left,True,16,Southpaw · Left-handed,Left foot · Left hand,0.986
Nikita Krylov,Ukraine,Europe,Orthodox,Right,30,10,40,75.0,Light Heavyweight,Study fundamentals and signature techniques,corrected,Men,190.5,195.6,Orthodox,1992-03-07,http://ufcstats.com/fighter-details/1091d4d957141094,22.0,12.0,10.0,5.0,5.0,2.0,0.0,0.0,2013-08-31,2026-07-11,22.0,157.3,4.38,54.21,2.75,48.14,2.19,38.33,53.19,1.14,0.57,35.36,59.22,22.64,18.14,58.93,24.82,16.26,34.5,34.3,True,5.1,0.0,70.0,84.0,All-rounder,Orthodox,True,Left,False,18,Orthodox · Right-handed,Left foot · Right hand,1.027
Conor McGregor,Ireland,Europe,Southpaw,Right,22,6,28,78.57,Lightweight,"Study left cross, footwork, distance management",original,Men,175.3,188.0,Southpaw,1988-07-14,http://ufcstats.com/fighter-details/f4c49976c75c5ab2,15.0,10.0,5.0,8.0,0.0,2.0,4.0,12.0,2013-04-06,2026-07-11,15.0,113.7,5.27,49.5,4.71,53.87,0.66,55.56,66.67,0.13,1.72,12.18,76.96,10.18,12.85,69.95,17.03,13.02,38.2,38.0,True,12.7,16.0,93.0,27.0,Striker,Southpaw,True,Right,True,68,Southpaw · Right-handed,Right foot · Right hand,1.072
Paddy Pimblett,UK,Europe,Orthodox,Right,20,3,23,86.96,Lightweight,Study fundamentals and signature techniques,original,Men,177.8,185.4,Orthodox,1995-01-03,http://ufcstats.com/fighter-details/7826923b47f8d72a,9.0,8.0,1.0,2.0,4.0,2.0,1.0,1.0,2021-09-04,2026-07-11,9.0,88.4,5.48,52.72,3.86,42.79,0.68,21.05,46.43,1.36,0.34,20.77,75.83,7.64,16.53,61.57,17.98,20.45,31.7,31.5,True,7.6,2.0,70.0,61.0,All-rounder,Orthodox,True,Right,False,16,Orthodox · Right-handed,Right foot · Right hand,1.043
Tom Aspinall,UK,Europe,Orthodox,Right,15,3,18,83.33,Heavyweight,Study fundamentals and signature techniques,original,Men,195.6,198.1,Orthodox,1993-04-11,http://ufcstats.com/fighter-details/399afbabc02376b5,10.0,8.0,1.0,6.0,2.0,0.0,3.0,4.0,2020-07-25,2025-10-25,10.0,22.9,7.63,67.57,3.62,56.99,2.62,80.0,100.0,1.31,3.27,22.24,61.71,9.71,28.57,68.0,13.14,18.86,33.5,32.5,True,2.5,7.0,100.0,80.0,Striker,Orthodox,True,Right,True,32,Orthodox · Right-handed,Right foot · Right hand,1.013
Michael Bisping,UK,Europe,Orthodox,Right,30,9,39,76.92,Middleweight,Study fundamentals and signature techniques,original,Men,185.4,190.5,Orthodox,1979-02-28,http://ufcstats.com/fighter-details/2b93ebd9f5417ad2,29.0,20.0,9.0,10.0,0.0,10.0,4.0,14.0,2006-06-24,2017-11-25,29.0,365.6,4.29,37.67,2.73,65.36,1.07,43.33,63.27,0.21,0.33,9.05,81.11,9.7,9.19,72.24,12.44,15.32,47.6,38.7,False,5.1,18.0,56.0,34.0,Striker,Orthodox,True,Right,True,87,Orthodox · Right-handed,Right foot · Right hand,1.028
Dan Hardy,UK,Europe,Orthodox,Right,25,10,35,71.43,Welterweight,Study fundamentals and signature techniques,corrected,Men,182.9,188.0,Orthodox,1982-05-17,http://ufcstats.com/fighter-details/473ce3aa581251a2,10.0,6.0,4.0,2.0,0.0,4.0,1.0,2.0,2008-10-18,2012-09-29,10.0,123.7,2.46,35.35,3.44,51.15,0.73,35.29,35.48,0.36,0.36,15.79,65.79,22.7,11.51,62.5,17.43,20.07,44.4,30.4,False,5.1,3.0,34.0,43.0,All-rounder,Orthodox,True,Right,False,17,Orthodox · Right-handed,Right foot · Right hand,1.028
Darren Till,UK,Europe,Southpaw,Right,18,5,23,78.26,Middleweight,Study fundamentals and signature techniques,original,Men,182.9,188.0,Southpaw,1992-12-24,http://ufcstats.com/fighter-details/9ce6d5a03af801b7,12.0,6.0,5.0,2.0,0.0,4.0,1.0,6.0,2015-05-30,2022-12-10,12.0,163.3,2.3,46.82,3.31,56.28,0.55,46.15,69.81,0.0,0.46,6.58,75.73,10.4,13.87,68.8,13.87,17.33,33.7,30.0,False,5.1,7.0,35.0,14.0,Striker,Southpaw,True,Right,False,29,Southpaw · Right-handed,Right foot · Right hand,1.028
Paul Craig,UK,Europe,Southpaw,Left,16,6,22,72.73,Light Heavyweight,Study fundamentals and signature techniques,corrected,Men,190.5,193.0,Orthodox,1987-11-27,http://ufcstats.com/fighter-details/eabf206b162b3b83,21.0,9.0,10.0,3.0,6.0,0.0,0.0,1.0,2016-12-17,2025-09-06,21.0,168.2,2.5,45.37,3.04,43.41,1.43,18.82,35.29,1.34,0.09,13.56,67.22,13.54,19.24,50.12,31.59,18.29,38.8,37.8,True,2.5,1.0,13.0,63.0,Grappler,Orthodox,False,Left,False,14,Orthodox · Left-handed,Left foot · Left hand,1.013
Terry Etim,UK,Europe,Orthodox,Right,15,5,20,75.0,Lightweight,Study fundamentals and signature techniques,original,Men,185.4,185.4,Orthodox,1986-01-11,http://ufcstats.com/fighter-details/33011768c3c4dc9a,11.0,6.0,5.0,1.0,4.0,1.0,0.0,0.0,2007-04-21,2013-02-16,11.0,105.8,2.16,35.84,2.53,67.0,0.43,30.0,39.39,1.42,0.28,5.58,86.9,11.79,1.31,48.03,10.92,41.05,40.7,27.1,False,0.0,0.0,22.0,39.0,Grappler,Orthodox,True,Right,False,6,Orthodox · Right-handed,Right foot · Right hand,1.0
Alistair Overeem,Netherlands,Europe,Orthodox,Right,47,19,66,71.21,Heavyweight,Study fundamentals and signature techniques,original,Men,193.0,203.2,Orthodox,1980-05-17,http://ufcstats.com/fighter-details/b4ad3a06ee4d660c,20.0,12.0,8.0,9.0,0.0,3.0,1.0,8.0,2011-12-30,2021-02-06,20.0,184.8,3.87,74.32,3.19,51.12,0.81,34.48,63.16,0.24,0.81,26.05,43.92,20.14,35.94,53.99,32.31,13.71,46.4,40.7,False,10.2,9.0,70.0,49.0,Striker,Orthodox,True,Right,False,51,Orthodox · Right-handed,Right foot · Right hand,1.053
Gegard Mousasi,Netherlands,Europe,Orthodox,Right,47,10,57,82.46,Middleweight,Study fundamentals and signature techniques,corrected,Men,188.0,193.0,Orthodox,1985-08-01,http://ufcstats.com/fighter-details/232c582f29f8f65e,12.0,9.0,3.0,5.0,1.0,3.0,0.0,5.0,2013-04-06,2017-04-08,12.0,120.1,3.87,50.32,1.39,68.01,1.12,52.94,73.68,0.37,0.25,23.32,65.16,11.4,23.44,71.4,10.32,18.28,41.1,31.7,False,5.0,5.0,44.0,56.0,All-rounder,Orthodox,True,Right,True,29,Orthodox · Right-handed,Right foot · Right hand,1.027
